epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,347.91,0.64558,0.39463,0.92208,0.95487,0.95884,0.9758,0.86789,0.5581,0.31312,0.86573,0.000540037,0.000540037,0.000540037
43,355.094,0.64562,0.38924,0.9161,0.95032,0.97092,0.9662,0.86294,0.55724,0.31303,0.86388,0.000531038,0.000531038,0.000531038
44,362.366,0.64682,0.38867,0.92069,0.95882,0.96707,0.97806,0.87131,0.5515,0.30178,0.86838,0.000522039,0.000522039,0.000522039
45,369.595,0.63672,0.38455,0.91708,0.9593,0.96845,0.97554,0.86728,0.55844,0.29882,0.864,0.00051304,0.00051304,0.00051304
46,376.84,0.6411,0.38619,0.91085,0.97829,0.97112,0.97556,0.88072,0.54723,0.29547,0.85709,0.00050404,0.00050404,0.00050404
47,384.054,0.62184,0.37557,0.90713,0.97584,0.97275,0.98729,0.88496,0.5437,0.29488,0.86437,0.000495041,0.000495041,0.000495041
48,391.307,0.62874,0.37153,0.9147,0.95704,0.96323,0.97648,0.85938,0.54089,0.30375,0.85583,0.000486042,0.000486042,0.000486042
49,398.471,0.62215,0.37419,0.90556,0.96567,0.97117,0.9769,0.87741,0.54832,0.29646,0.85579,0.000477043,0.000477043,0.000477043
50,405.639,0.61244,0.36957,0.90644,0.98597,0.96508,0.98099,0.87067,0.53511,0.29249,0.85283,0.000468044,0.000468044,0.000468044
51,412.873,0.60962,0.36257,0.90403,0.97938,0.96919,0.98739,0.88191,0.53415,0.28213,0.86027,0.000459045,0.000459045,0.000459045
52,419.989,0.62189,0.37402,0.9137,0.98294,0.98424,0.99263,0.88602,0.54009,0.28739,0.85159,0.000450046,0.000450046,0.000450046
53,427.141,0.6092,0.36372,0.90396,0.97844,0.97013,0.98353,0.87516,0.53303,0.28621,0.85307,0.000441047,0.000441047,0.000441047
54,434.24,0.60867,0.36596,0.90681,0.98819,0.9698,0.97656,0.87296,0.54791,0.29387,0.85802,0.000432048,0.000432048,0.000432048
55,441.64,0.61635,0.35837,0.90998,0.97316,0.98889,0.99147,0.88704,0.53228,0.28123,0.85151,0.000423049,0.000423049,0.000423049
56,448.81,0.60629,0.36076,0.90665,0.97771,0.98307,0.99175,0.88565,0.53704,0.28682,0.85852,0.000414049,0.000414049,0.000414049
57,456.108,0.60529,0.35756,0.90241,0.96558,0.97236,0.98639,0.88865,0.53499,0.28018,0.85572,0.00040505,0.00040505,0.00040505
58,463.236,0.59692,0.35062,0.89986,0.97916,0.95561,0.98401,0.89191,0.5293,0.28244,0.85215,0.000396051,0.000396051,0.000396051
59,470.392,0.59379,0.35333,0.89866,0.94347,0.97242,0.97163,0.89113,0.5236,0.28641,0.84498,0.000387052,0.000387052,0.000387052
60,477.793,0.5935,0.35288,0.89789,0.95204,0.96953,0.97654,0.88598,0.53718,0.28345,0.84979,0.000378053,0.000378053,0.000378053
61,485.044,0.60046,0.35747,0.90481,0.98819,0.96696,0.97709,0.88066,0.52386,0.27801,0.84682,0.000369054,0.000369054,0.000369054
62,492.31,0.58902,0.34617,0.8979,0.96561,0.96873,0.98873,0.88903,0.52592,0.2723,0.85018,0.000360055,0.000360055,0.000360055
63,499.563,0.58501,0.3386,0.89447,0.96812,0.96371,0.98158,0.88983,0.52145,0.27175,0.84633,0.000351056,0.000351056,0.000351056
64,506.711,0.59229,0.34238,0.89496,0.983,0.9702,0.98619,0.89451,0.52287,0.2721,0.84912,0.000342057,0.000342057,0.000342057
65,513.828,0.58862,0.34468,0.89721,0.98275,0.96812,0.98341,0.89598,0.51288,0.2638,0.84678,0.000333058,0.000333058,0.000333058
66,521.158,0.58979,0.33948,0.90227,0.98121,0.97168,0.97664,0.88954,0.51813,0.26414,0.84767,0.000324058,0.000324058,0.000324058
67,528.366,0.58003,0.32984,0.89737,0.98632,0.96973,0.98414,0.89846,0.52048,0.26521,0.84804,0.000315059,0.000315059,0.000315059
68,535.596,0.57297,0.33058,0.89443,0.98306,0.97251,0.97671,0.89807,0.51626,0.2664,0.84663,0.00030606,0.00030606,0.00030606
69,542.877,0.5748,0.32943,0.89129,0.9832,0.9724,0.97712,0.89867,0.51622,0.26506,0.84523,0.000297061,0.000297061,0.000297061
70,550.001,0.57591,0.33307,0.89301,0.98557,0.97393,0.97705,0.8912,0.50174,0.25906,0.84102,0.000288062,0.000288062,0.000288062
71,557.133,0.56569,0.32726,0.88689,0.98551,0.97403,0.97712,0.88981,0.51727,0.2574,0.84546,0.000279063,0.000279063,0.000279063
72,564.364,0.57206,0.33013,0.89363,0.98295,0.9691,0.9814,0.89379,0.51031,0.25443,0.84588,0.000270064,0.000270064,0.000270064
73,571.498,0.55831,0.32384,0.88753,0.98915,0.97322,0.97827,0.89383,0.50601,0.2575,0.8479,0.000261065,0.000261065,0.000261065
74,578.681,0.55836,0.32621,0.89037,0.98972,0.97266,0.97743,0.89625,0.50173,0.25482,0.84909,0.000252066,0.000252066,0.000252066
75,586.064,0.56628,0.32294,0.89044,0.99399,0.96376,0.97692,0.89331,0.50714,0.25981,0.84634,0.000243067,0.000243067,0.000243067
76,593.282,0.56147,0.32376,0.88823,0.9882,0.97263,0.97714,0.89533,0.49934,0.2525,0.84446,0.000234068,0.000234068,0.000234068
77,600.503,0.5593,0.31565,0.88736,0.98662,0.97339,0.98471,0.90554,0.49651,0.25262,0.84718,0.000225068,0.000225068,0.000225068
78,607.916,0.55547,0.32091,0.88804,0.99105,0.9727,0.98848,0.90526,0.49048,0.24664,0.84186,0.000216069,0.000216069,0.000216069
79,615.07,0.53831,0.30694,0.88051,0.98827,0.97479,0.97746,0.90407,0.48605,0.24894,0.8374,0.00020707,0.00020707,0.00020707
80,622.3,0.55186,0.31333,0.8889,0.98822,0.97529,0.98539,0.91339,0.48614,0.2449,0.83373,0.000198071,0.000198071,0.000198071
81,629.589,0.54552,0.31108,0.88035,0.99035,0.97394,0.98812,0.91276,0.48499,0.24464,0.83464,0.000189072,0.000189072,0.000189072
82,636.737,0.54611,0.30967,0.88388,0.98678,0.97222,0.97724,0.90626,0.48943,0.24308,0.83708,0.000180073,0.000180073,0.000180073
83,643.999,0.55192,0.31079,0.8872,0.98593,0.97452,0.97791,0.90792,0.48403,0.24251,0.83547,0.000171074,0.000171074,0.000171074
84,651.402,0.53754,0.30172,0.88031,0.98441,0.97485,0.97753,0.90442,0.49175,0.24612,0.83806,0.000162075,0.000162075,0.000162075
85,658.672,0.53589,0.30177,0.88269,0.98784,0.97315,0.98155,0.90401,0.47955,0.23899,0.83352,0.000153076,0.000153076,0.000153076
86,665.903,0.54229,0.30463,0.88617,0.98758,0.97279,0.98719,0.91177,0.47766,0.23312,0.83337,0.000144077,0.000144077,0.000144077
87,673.237,0.53491,0.29972,0.88192,0.98752,0.97242,0.97843,0.90372,0.47641,0.23702,0.83489,0.000135077,0.000135077,0.000135077
88,680.353,0.53415,0.30151,0.88219,0.98691,0.97382,0.98265,0.90291,0.47213,0.23132,0.83367,0.000126078,0.000126078,0.000126078
89,687.671,0.53682,0.29614,0.88094,0.98795,0.97323,0.97917,0.91065,0.47118,0.23536,0.83426,0.000117079,0.000117079,0.000117079
90,694.827,0.52234,0.29087,0.88317,0.98803,0.97173,0.979,0.90872,0.47306,0.23254,0.83365,0.00010808,0.00010808,0.00010808
91,736.64,0.49822,0.26168,0.85017,0.98713,0.97302,0.97846,0.89852,0.49122,0.24267,0.83971,9.9081e-05,9.9081e-05,9.9081e-05
92,743.91,0.4901,0.25162,0.84683,0.98542,0.97593,0.9782,0.90197,0.48747,0.24664,0.84011,9.00819e-05,9.00819e-05,9.00819e-05
93,750.975,0.47485,0.24513,0.84197,0.98949,0.97676,0.97801,0.90095,0.48539,0.24408,0.83841,8.10828e-05,8.10828e-05,8.10828e-05
94,758.108,0.47752,0.2453,0.84624,0.98882,0.97638,0.97803,0.90668,0.48315,0.24433,0.83688,7.20837e-05,7.20837e-05,7.20837e-05
95,765.175,0.47716,0.24609,0.84023,0.98775,0.9752,0.97835,0.90717,0.48264,0.24192,0.83654,6.30846e-05,6.30846e-05,6.30846e-05
96,772.292,0.4703,0.23928,0.83448,0.98653,0.97489,0.97824,0.90807,0.47516,0.2381,0.83478,5.40855e-05,5.40855e-05,5.40855e-05
97,779.343,0.46324,0.23751,0.83872,0.98686,0.97627,0.97849,0.91086,0.47312,0.23543,0.83256,4.50864e-05,4.50864e-05,4.50864e-05
98,786.446,0.46203,0.2377,0.83719,0.98797,0.97615,0.97854,0.90822,0.4686,0.23303,0.83148,3.60873e-05,3.60873e-05,3.60873e-05
99,793.564,0.45929,0.23709,0.83863,0.98882,0.9768,0.97866,0.91214,0.46945,0.23276,0.83156,2.70882e-05,2.70882e-05,2.70882e-05
100,800.661,0.45297,0.23651,0.83393,0.98835,0.97705,0.97855,0.91399,0.46738,0.23019,0.83072,1.80891e-05,1.80891e-05,1.80891e-05
