습도,강수량,기온,풍속,한식,글로벌,패스트푸드,총배달건수,ㅎㅎ
40,0,1.6,1.1,3,0,10,769.2307692307693,2
38,0,1.9,1.3,2,1,18,476.1904761904762,2
50,0,1.8,1.5,1,4,16,476.19047619047626,1
64,0,1.1,3.0,3,0,22,400.0,0
78,0,0.2,2.0,1,3,29,303.030303030303,0
77,0,0.1,2.1,4,1,29,294.11764705882354,0
73,0,-0.2,1.9,7,0,35,238.0952380952381,3
57,0,-0.7,2.5,5,0,32,270.2702702702702,1
59,0,-1.3,2.5,4,0,56,166.66666666666669,4
63,0,-1.9,2.2,0,2,30,312.5,0
45,0,-2.2,1.2,1,3,11,666.6666666666666,0
46,0,-4.7,0.1,4,0,19,434.78260869565213,1
41,0,-4.8,0.4,1,0,28,344.8275862068965,0
75,0,-2.1,3.2,2,0,8,1000.0,1
49,0,-7.4,2.6,2,1,7,1000.0,2
44,0,-9.4,2.9,1,1,19,476.19047619047615,0
42,0,-9.9,2.9,4,0,18,454.5454545454545,3
45,0,-10.5,2.9,0,1,24,400.0,0
44,0,-11.0,1.7,1,1,26,357.14285714285717,1
47,0,-10.3,3.0,3,0,11,714.2857142857143,0
42,0,-10.7,2.0,1,1,12,714.2857142857142,0
44,0,-11.0,1.7,1,0,7,1250.0,1
46,0,-11.1,0.7,1,0,11,833.3333333333333,0
42,0,-10.9,1.5,2,1,19,454.5454545454546,1
43,0,-11.0,1.6,1,0,27,357.1428571428571,0
46,0,-11.1,1.7,3,2,19,416.66666666666663,1
48,0,-11.3,1.7,1,0,26,370.3703703703704,0
51,0,-11.1,1.0,1,0,14,666.6666666666667,0
38,0,-4.9,0.7,2,0,10,833.3333333333335,0
35,0,-5.4,1.2,2,1,7,1000.0,0
47,0,-4.9,1.3,5,1,17,434.78260869565213,3
52,0,-4.9,0.2,2,2,19,434.78260869565213,1
48,0,-4.9,0.8,3,0,24,370.3703703703703,2
41,0,-4.6,0.7,2,0,18,500.0,0
68,0,0.2,1.8,3,1,8,833.3333333333331,1
76,0,-0.6,2.3,3,1,14,555.5555555555557,2
68,0,-0.9,1.6,2,1,24,370.3703703703703,0
65,0,-1.1,1.9,1,1,34,277.77777777777777,0
65,0,-1.5,2.3,2,2,41,222.22222222222226,0
67,0,-2.6,2.1,1,2,23,384.6153846153846,0
47,0,-1.2,1.6,1,0,18,526.3157894736842,1
56,0,-3.1,0.7,5,0,18,434.78260869565213,3
59,0,-3.9,0.3,8,0,15,434.7826086956522,0
62,0,-3.3,1.0,2,0,17,526.3157894736842,0
62,0,-3.9,0.5,3,1,25,344.8275862068965,0
63,0,-4.0,0.1,6,1,42,204.0816326530612,2
69,0,-5.0,0.6,4,0,40,227.27272727272722,1
72,0,-4.9,0.8,2,1,41,227.27272727272728,0
70,0,-4.9,0.7,3,0,20,434.78260869565213,1
70,0,0.6,0.6,1,0,14,666.6666666666667,0
75,0,0.5,1.6,3,2,14,526.3157894736842,1
73,0,0.9,0.7,1,0,29,333.3333333333333,1
74,0,1.4,0.0,3,1,23,370.3703703703704,1
74,0,1.3,0.1,2,0,31,303.030303030303,0
76,0,1.0,1.3,2,0,27,344.8275862068965,0
78,0,0.2,1.0,5,1,43,204.0816326530612,1
82,0,-0.3,0.6,3,0,33,277.7777777777777,1
83,0,-0.9,0.3,3,1,39,232.55813953488376,0
85,0,-0.4,0.3,0,1,24,400.0,0
66,0,1.1,0.0,2,1,21,416.6666666666667,0
64,0,0.4,1.1,2,0,23,400.0,0
65,0,0.2,1.2,1,0,19,500.0,0
64,0,0.7,1.6,0,2,21,434.78260869565213,0
47,0,7.3,1.3,3,0,10,769.2307692307693,0
50,0,6.9,0.6,3,0,17,500.0,2
48,0,7.1,1.4,2,2,40,227.27272727272722,1
53,0,6.7,1.4,2,0,20,454.5454545454545,2
61,0,6.3,1.0,0,2,10,833.3333333333335,0
98,0,7.0,1.0,2,0,8,1000.0,1
99,0,5.6,0.7,5,0,34,256.4102564102564,1
99,0,5.2,1.2,2,0,24,384.61538461538464,1
89,0,5.4,0.1,1,0,9,1000.0,0
88,0,5.3,0.4,1,0,10,909.090909090909,0
92,0,4.4,1.0,3,0,21,416.6666666666667,1
93,0,4.1,1.2,2,1,24,370.3703703703703,1
96,0,3.4,0.9,1,0,36,270.27027027027026,1
80,0,8.3,0.2,2,3,21,384.61538461538464,0
81,0,6.6,1.2,1,0,15,625.0,1
78,0,6.9,1.2,4,0,32,277.77777777777777,0
80,0,6.4,1.6,4,1,35,250.0,0
79,0,6.7,1.3,2,3,32,270.2702702702702,1
77,0,6.8,1.8,4,2,32,263.1578947368421,0
74,0,7.4,1.5,1,0,16,588.2352941176471,0
97,1,6.4,0.1,4,1,18,434.78260869565213,2
99,0,6.8,0.5,1,1,19,476.19047619047615,0
98,0,5.7,1.8,3,0,19,454.5454545454546,0
97,2,4.0,1.8,1,1,22,416.66666666666663,1
97,2,3.3,2.2,3,0,25,357.14285714285717,1
96,2,1.1,2.1,2,1,15,555.5555555555555,0
97,1,-0.2,1.7,6,0,19,400.0,0
97,1,-0.3,1.2,4,0,33,270.27027027027026,1
97,0,-0.4,2.6,4,0,40,227.27272727272722,4
95,0,-0.4,2.8,2,1,42,222.2222222222222,0
68,0,-4.7,1.7,4,1,32,270.2702702702702,3
70,0,-4.7,2.0,5,1,19,400.0,4
66,0,-4.4,1.7,2,1,12,666.6666666666666,2
71,0,-4.1,1.8,4,2,11,588.2352941176471,2
75,0,-3.9,1.2,3,1,11,666.6666666666666,0
81,0,-4.8,1.9,5,0,16,476.1904761904762,2
74,0,-5.3,2.6,8,1,6,666.6666666666667,3
76,0,-5.9,2.0,2,1,20,434.78260869565213,0
78,0,-6.3,1.4,1,2,23,384.6153846153846,0
71,0,-6.5,2.0,3,0,10,769.2307692307693,1
77,0,-6.9,2.3,1,0,16,588.2352941176471,0
56,0,-7.0,1.6,1,1,11,769.2307692307692,0
53,0,-7.6,1.3,0,3,13,625.0,0
53,0,-2.7,0.8,3,0,13,625.0,2
68,0,-3.1,0.9,2,0,15,588.2352941176471,0
68,0,-3.3,0.5,3,0,26,344.8275862068965,2
