습도,강수량,기온,풍속,한식,글로벌,패스트푸드,총배달건수,ㅎㅎ
100,0,20.5,1.4,55,8,45,92.59259259259261,8
100,0,20.2,0.6,61,9,54,80.64516129032259,4
100,0,20.1,1.8,35,5,48,113.63636363636363,3
100,0,20.3,2.3,29,3,34,151.5151515151515,1
100,0,20.4,1.4,15,0,38,188.67924528301884,1
100,0,20.4,1.9,9,1,19,344.82758620689657,0
100,0,20.7,2.2,3,1,7,909.090909090909,0
100,1,19.3,2.0,24,14,15,188.67924528301887,4
100,0,19.2,2.5,28,9,21,172.41379310344826,4
100,1,19.1,2.1,12,3,10,400.0,1
100,0,19.0,2.6,9,4,12,400.0,0
100,1,18.9,2.4,11,5,9,400.0,0
100,1,18.7,2.4,13,7,22,238.09523809523813,1
100,0,18.3,1.7,40,8,21,144.92753623188406,6
100,1,18.1,1.9,49,14,47,90.9090909090909,4
100,0,18.2,2.3,52,17,52,82.64462809917356,10
100,0,18.3,2.3,31,11,44,116.27906976744185,4
100,0,18.3,3.5,28,2,35,153.84615384615387,2
100,0,18.4,2.5,18,0,21,256.4102564102564,0
100,0,18.9,2.6,12,0,21,303.030303030303,0
92,0,19.7,1.6,33,4,13,200.0,3
94,0,19.7,2.2,13,14,15,238.09523809523807,1
91,0,19.8,1.7,13,8,15,277.77777777777777,3
93,0,19.3,1.1,8,3,11,454.54545454545456,0
90,0,18.9,1.5,10,8,12,333.3333333333333,1
89,0,18.8,1.3,16,4,24,227.27272727272728,1
86,0,18.5,1.3,28,10,24,161.29032258064518,2
86,0,18.0,1.2,66,11,57,74.6268656716418,5
87,0,17.9,1.5,53,14,80,68.02721088435375,4
87,0,18.7,1.5,54,12,66,75.75757575757576,3
86,0,19.1,1.1,35,4,54,107.52688172043011,3
85,0,20.9,0.2,26,0,37,158.73015873015873,0
89,0,22.1,1.7,12,0,25,270.2702702702703,0
86,0,21.4,0.5,23,12,15,200.0,5
91,0,19.7,1.7,33,15,21,144.92753623188406,2
87,0,19.6,1.7,27,14,25,151.5151515151515,3
96,0,19.4,1.5,24,5,27,178.57142857142856,0
98,0,18.7,1.9,18,9,28,181.8181818181818,1
100,0,18.6,2.0,36,5,28,144.92753623188406,3
100,0,20.0,0.6,37,11,30,128.2051282051282,1
100,0,21.0,1.0,61,12,59,75.75757575757575,4
100,0,21.0,0.7,49,17,49,86.95652173913044,4
100,0,21.3,0.7,39,11,44,106.38297872340426,4
100,0,21.8,1.2,32,5,38,133.33333333333334,3
91,0,22.7,1.2,33,1,45,126.58227848101265,0
83,0,23.5,1.2,14,2,21,270.27027027027026,0
71,0,25.4,1.6,8,2,8,555.5555555555555,0
82,0,21.1,1.7,29,14,20,158.7301587301587,5
78,0,20.6,1.4,37,11,31,126.58227848101264,5
78,0,19.6,2.5,33,22,31,116.27906976744185,3
81,0,19.3,1.6,21,11,23,181.8181818181818,3
72,0,19.3,1.7,35,12,33,125.0,1
71,0,18.0,1.8,41,8,30,126.58227848101265,7
80,0,17.7,1.9,54,12,48,87.71929824561403,3
85,0,16.8,1.8,54,23,54,76.33587786259542,6
81,0,17.2,1.7,44,13,55,89.28571428571429,6
91,0,18.6,1.4,34,13,41,113.63636363636363,0
79,0,21.6,0.2,26,3,37,151.5151515151515,1
70,0,24.1,0.5,22,1,20,232.55813953488374,2
77,0,24.1,2.7,5,1,12,555.5555555555555,0
100,0,21.0,1.8,22,4,16,238.09523809523813,6
100,5,20.1,2.5,25,7,28,166.66666666666669,2
100,6,18.8,4.3,11,7,15,303.030303030303,3
100,10,18.6,3.3,7,2,23,312.5,0
100,18,18.5,3.8,15,3,17,285.71428571428567,1
100,9,18.1,4.4,21,4,14,256.41025641025635,2
100,4,17.8,2.9,26,6,20,192.30769230769232,3
100,6,17.7,2.3,43,12,41,104.16666666666666,1
100,9,17.7,3.5,42,17,55,87.71929824561403,4
100,4,17.5,2.3,46,14,36,104.16666666666667,4
100,3,17.8,2.3,35,3,30,147.05882352941177,2
100,1,18.0,2.3,20,1,32,188.67924528301887,0
100,2,18.3,1.9,15,1,21,270.27027027027026,0
100,0,18.4,3.4,7,1,3,909.090909090909,1
97,0,17.6,3.2,24,12,24,166.66666666666663,3
100,0,17.5,1.2,19,7,17,232.5581395348837,2
98,0,17.5,1.0,6,7,18,322.58064516129036,1
100,0,17.5,0.6,13,5,11,344.8275862068965,1
100,0,17.9,1.6,9,3,15,370.3703703703704,0
100,0,17.5,0.8,13,3,19,285.7142857142857,0
100,0,17.0,0.6,25,6,35,151.5151515151515,0
90,0,15.9,1.2,58,14,40,89.28571428571429,7
88,0,16.0,1.4,63,18,43,80.64516129032259,6
99,0,16.5,1.0,42,9,46,103.09278350515464,1
87,0,18.5,0.6,37,3,25,153.84615384615387,5
94,0,18.9,0.2,20,2,35,175.43859649122805,0
85,0,20.5,0.8,10,2,20,312.5,0
73,0,-0.3,0.1,3,1,6,1000.0,0
73,0,-0.3,0.5,4,4,6,714.2857142857142,1
76,0,-0.4,0.7,4,2,8,714.2857142857143,3
76,0,-0.5,0.9,1,5,15,476.1904761904762,0
75,0,-0.6,1.0,3,3,23,344.82758620689657,1
74,0,-0.6,0.2,3,2,23,357.1428571428571,1
74,0,-0.4,0.7,5,0,22,370.3703703703704,2
75,0,-0.4,0.3,6,1,15,454.5454545454545,2
72,0,1.2,0.9,3,1,2,1666.6666666666665,1
77,0,-0.8,1.0,4,0,6,1000.0,1
81,0,-1.4,0.5,2,1,10,769.2307692307693,0
80,0,-1.5,0.9,8,3,20,322.58064516129025,1
81,0,-1.9,0.2,3,4,18,400.0,0
81,0,-2.0,0.3,3,0,20,434.78260869565213,1
82,0,-2.6,0.3,1,1,8,1000.0,0
75,0,-2.3,0.4,1,2,18,476.1904761904762,0
73,0,-1.5,0.7,3,6,28,270.2702702702703,1
74,0,-0.9,0.7,1,3,13,588.2352941176471,1
72,0,-0.8,0.7,1,2,25,357.14285714285717,1
74,0,-0.8,0.8,2,1,15,555.5555555555555,1
51,0,1.1,0.6,2,2,8,833.3333333333331,1
50,0,0.9,0.8,3,3,11,588.2352941176471,0
55,0,-0.5,1.1,1,1,11,769.2307692307692,0
64,0,-2.1,0.2,4,4,16,416.6666666666666,0
63,0,-1.7,0.1,5,2,26,303.03030303030295,2
67,0,-2.3,0.2,6,3,15,416.66666666666663,0
70,0,-2.7,0.7,5,1,16,454.5454545454545,3
72,0,-2.8,0.4,3,2,14,526.3157894736842,0
66,0,-1.3,0.2,4,0,4,1250.0,1
51,0,2.0,0.6,3,1,8,833.3333333333331,0
53,0,1.2,1.0,5,2,9,625.0,2
53,0,1.0,1.3,4,1,12,588.2352941176471,1
53,0,1.1,1.5,2,3,30,285.71428571428567,1
55,0,1.1,1.2,8,3,18,344.8275862068965,3
55,0,1.1,1.1,1,5,22,357.14285714285717,1
55,0,1.4,1.2,1,1,21,434.78260869565213,1
52,0,1.9,1.1,2,1,13,625.0,1
52,0,2.3,0.5,2,4,8,714.2857142857143,1
55,0,2.9,1.0,3,1,4,1250.0,1
99,0,2.7,1.6,2,4,14,500.0,2
99,0,3.5,2.2,4,4,18,384.6153846153846,2
100,2,3.7,1.7,2,0,10,833.3333333333335,0
100,2,3.9,1.3,4,16,34,185.18518518518516,0
100,3,4.1,1.8,2,10,22,294.11764705882354,2
100,2,4.3,1.2,2,8,44,185.18518518518516,2
100,3,4.6,1.8,0,6,14,500.0,0
100,5,6.7,2.1,2,2,2,1666.6666666666663,0
100,1,7.1,1.8,0,2,3,2000.0,0
100,2,9.9,5.0,2,1,6,1111.111111111111,1
99,0,6.8,5.0,3,0,6,1111.1111111111109,1
99,1,4.5,2.4,1,0,13,714.2857142857143,1
97,1,3.1,3.1,1,1,7,1111.1111111111113,0
96,1,2.4,2.3,4,2,15,476.19047619047626,0
96,0,1.8,2.3,4,1,17,454.5454545454545,2
96,1,1.6,1.6,3,1,11,666.6666666666666,0
96,0,1.3,2.2,2,0,18,500.0,0
96,0,1.8,1.3,4,2,13,526.3157894736842,1
78,0,-0.6,2.6,1,3,9,769.2307692307692,0
74,0,-1.2,0.6,3,1,10,714.2857142857142,0
78,0,-2.0,1.0,4,3,17,416.6666666666667,2
79,0,-2.6,1.4,5,2,4,909.0909090909091,2
68,0,-1.9,0.6,3,1,7,909.090909090909,0
72,0,-2.1,0.6,2,2,5,1111.111111111111,0
75,0,-2.1,1.0,2,5,3,1000.0,0
80,0,-2.5,0.6,2,3,3,1250.0,0
79,0,-3.0,0.4,4,1,8,769.2307692307693,0
81,0,-3.5,0.9,4,1,8,769.2307692307693,2
86,0,-3.7,0.7,9,2,16,370.3703703703703,3
82,0,-3.4,0.9,2,1,13,625.0,0
81,0,-3.4,0.8,2,2,8,833.3333333333331,2
80,0,-2.7,0.3,0,2,13,666.6666666666666,0
73,0,-0.7,0.1,2,1,8,909.0909090909091,0
85,0,-1.7,0.0,5,2,21,357.1428571428571,1
85,0,-1.5,0.0,8,0,34,238.0952380952381,1
69,0,-1.6,1.3,3,1,7,909.090909090909,0
69,0,-1.7,1.4,4,2,7,769.2307692307693,1
75,0,-2.2,1.0,3,7,10,500.0,1
76,0,-2.6,0.9,14,3,13,333.33333333333337,3
72,0,-3.0,1.5,7,4,22,303.030303030303,1
76,0,-3.4,0.3,3,2,21,384.61538461538464,0
73,0,-3.1,0.5,4,1,17,454.5454545454545,1
74,0,-3.2,1.1,4,0,13,588.2352941176471,1
71,0,-1.8,1.8,2,1,17,500.0,0
73,0,-2.0,1.3,2,2,8,833.3333333333331,0
71,0,-3.2,1.2,5,3,9,588.2352941176471,1
69,0,-3.5,0.7,10,1,10,476.1904761904761,1
74,0,-4.2,0.1,11,3,33,212.7659574468085,2
73,0,-4.0,1.1,8,2,28,263.1578947368421,0
67,0,-3.4,1.1,3,4,16,434.78260869565213,0
68,0,-3.3,1.8,2,1,18,476.1904761904762,0
49,0,-3.8,0.2,1,1,6,1250.0,0
54,0,-4.0,0.2,1,1,5,1428.5714285714284,0
55,0,-3.9,0.5,3,0,7,1000.0,2
61,0,-4.3,0.7,3,3,13,526.3157894736842,0
59,0,-4.3,0.9,2,2,13,588.2352941176471,1
61,0,-4.3,0.6,1,3,14,555.5555555555557,1
63,0,-4.2,0.6,2,4,14,500.0,1
44,0,-2.0,1.6,3,1,8,833.3333333333331,0
46,0,-2.7,0.9,3,0,9,833.3333333333333,1
42,0,-2.8,1.2,4,0,10,714.2857142857143,0
53,0,-3.1,1.1,3,2,8,769.2307692307693,1
62,0,-4.3,0.9,1,1,9,909.0909090909092,0
62,0,-4.7,1.0,2,0,13,666.6666666666666,1
65,0,-5.2,0.8,6,1,19,384.6153846153845,2
66,0,-5.7,0.5,1,1,11,769.2307692307692,0
59,0,-4.9,0.8,2,1,3,1666.6666666666665,1
43,0,-2.6,1.1,2,0,7,1111.1111111111113,0
48,0,-3.2,0.8,1,2,4,1428.5714285714287,1
53,0,-3.6,1.0,2,0,4,1666.6666666666663,0
56,0,-4.2,0.4,8,1,7,625.0,6
62,0,-4.9,0.5,5,2,13,500.0,3
51,0,-1.1,0.9,3,1,11,666.6666666666666,1
54,0,-1.6,1.0,4,3,8,666.6666666666667,1
56,0,-2.1,0.6,1,1,8,1000.0,1
67,0,-3.1,0.7,3,1,2,1666.6666666666665,1
67,0,-3.2,1.1,9,0,13,454.5454545454545,6
66,0,-3.6,0.7,7,4,13,416.66666666666663,1
64,0,-3.5,1.0,4,1,19,416.66666666666663,1
61,0,-3.8,1.1,1,2,10,769.2307692307693,1
54,0,-0.2,0.4,1,1,11,769.2307692307692,0
57,0,-0.5,0.7,3,1,8,833.3333333333331,0
58,0,-0.7,0.7,2,2,8,833.3333333333331,0
67,0,-1.2,0.7,1,1,4,1666.6666666666663,1
64,0,-1.9,0.9,3,2,13,555.5555555555554,0
69,0,-2.7,0.7,6,3,18,370.3703703703704,2
67,0,-2.9,0.2,12,3,17,312.5,3
69,0,-3.1,0.0,5,2,22,344.8275862068965,1
69,0,-3.3,0.7,2,1,12,666.6666666666666,2
60,0,0.3,1.0,7,0,6,769.2307692307693,2
65,0,0.3,0.8,6,1,14,476.19047619047615,1
67,0,0.0,0.9,4,0,9,769.2307692307693,1
70,0,0.0,1.3,5,1,12,555.5555555555555,0
72,0,-0.2,1.1,6,3,12,476.19047619047615,1
72,0,0.2,0.7,6,5,21,312.5,1
73,0,0.0,0.7,3,0,21,416.6666666666667,1
73,0,0.0,0.9,5,2,22,344.8275862068965,4
66,0,1.6,0.9,3,0,6,1111.1111111111109,0
66,0,1.3,1.6,4,1,10,666.6666666666666,2
70,0,0.8,1.3,2,0,13,666.6666666666666,0
69,0,0.2,0.8,2,4,12,555.5555555555554,0
66,0,0.2,0.8,1,1,24,384.61538461538464,1
61,0,0.5,0.5,5,1,18,416.6666666666667,1
61,0,0.4,0.4,11,3,26,250.0,2
59,0,0.4,0.8,4,4,29,270.27027027027026,0
61,0,0.4,1.3,3,1,17,476.1904761904762,1
66,0,-0.3,0.5,2,0,28,333.33333333333337,1
65,0,-0.1,1.3,0,2,13,666.6666666666666,0
47,0,-2.7,1.8,4,1,5,1000.0,3
47,0,-3.0,1.3,3,2,6,909.090909090909,1
52,0,-3.6,0.9,2,1,5,1250.0,1
56,0,-3.9,0.9,8,1,10,526.3157894736842,1
54,0,-4.0,0.6,10,2,15,370.37037037037044,2
51,0,-4.0,0.1,4,4,13,476.1904761904762,1
57,0,-4.2,0.6,4,0,4,1250.0,2
49,0,-0.1,0.5,2,0,4,1666.6666666666663,0
46,0,0.6,0.9,4,2,7,769.2307692307693,2
44,0,0.5,0.5,2,3,8,769.2307692307693,2
44,0,0.4,1.3,4,1,13,555.5555555555554,2
44,0,0.5,1.0,4,2,16,454.54545454545456,1
43,0,1.4,0.8,2,0,6,1250.0,0
52,0,3.3,1.2,3,3,4,1000.0,1
52,0,2.9,0.9,2,1,4,1428.5714285714287,1
54,0,3.0,0.1,2,0,4,1666.6666666666663,1
47,0,2.7,0.9,4,0,6,1000.0,1
52,0,2.2,1.1,6,1,13,500.0,1
56,0,1.3,0.8,12,1,10,434.78260869565213,3
60,0,0.8,0.8,6,1,9,625.0,2
62,0,4.7,2.0,3,0,8,909.0909090909091,1
65,0,4.1,1.3,2,3,7,833.3333333333334,0
68,0,3.5,1.1,1,1,8,1000.0,0
74,0,2.3,0.6,1,1,4,1666.6666666666663,0
80,0,1.0,0.6,7,0,10,588.2352941176471,2
86,0,0.5,0.3,7,1,12,500.0,0
84,0,0.6,1.2,5,5,18,357.14285714285717,1
84,0,0.0,1.1,2,2,17,476.1904761904762,0
88,0,-0.3,1.2,3,1,13,588.2352941176471,1
88,0,-0.9,1.1,3,0,5,1250.0,1
73,0,1.5,1.2,3,1,16,500.0,0
75,0,1.3,1.0,6,0,19,400.0,3
73,0,1.6,1.2,4,0,13,588.2352941176471,2
83,0,-0.4,0.9,3,1,16,500.0,0
83,0,-0.1,0.7,7,1,11,526.3157894736842,1
53,0,5.4,1.8,2,1,5,1250.0,0
53,0,5.1,2.0,3,1,17,476.1904761904762,1
80,0,4.0,1.1,3,1,14,555.5555555555557,1
80,0,4.1,1.1,1,2,10,769.2307692307693,0
76,0,4.1,1.1,1,2,12,666.6666666666666,0
76,0,4.1,1.9,3,0,11,714.2857142857143,0
78,0,4.1,0.7,2,1,9,833.3333333333333,0
77,0,4.3,1.0,8,3,15,384.6153846153846,2
73,0,4.5,1.6,11,3,20,294.11764705882354,1
72,0,4.7,0.9,7,2,15,416.66666666666663,1
65,0,5.6,1.6,2,3,6,909.090909090909,1
53,0,6.5,1.9,2,2,6,1000.0,1
60,0,4.0,1.2,1,1,7,1111.1111111111113,0
65,0,3.1,1.0,4,2,10,625.0,0
65,0,3.4,1.0,4,1,11,625.0,1
65,0,3.4,0.7,6,2,11,526.3157894736842,0
66,0,3.6,0.5,1,2,7,1000.0,0
50,0,5.6,1.2,2,0,6,1250.0,0
50,0,5.2,1.9,1,2,10,769.2307692307693,0
55,0,4.7,1.9,3,0,5,1250.0,0
58,0,3.5,0.9,2,2,13,588.2352941176471,1
59,0,3.1,1.3,2,2,19,434.78260869565213,0
60,0,2.9,0.4,1,1,14,625.0,0
63,0,5.3,1.1,4,1,6,909.0909090909091,1
64,0,4.8,0.6,5,0,10,666.6666666666666,1
70,0,3.3,1.0,3,2,8,769.2307692307693,0
69,0,3.1,1.1,5,3,18,384.61538461538464,0
69,0,3.0,0.3,4,3,13,500.0,1
72,0,2.4,0.4,4,1,8,769.2307692307693,2
69,0,3.0,0.2,1,2,11,714.2857142857143,0
73,0,1.8,1.3,4,1,10,666.6666666666666,3
77,0,0.7,1.8,2,0,14,625.0,0
78,0,-0.2,0.7,8,4,23,285.7142857142858,1
80,0,-0.6,0.8,3,1,21,400.0,0
81,0,-0.4,0.6,2,0,21,434.78260869565213,1
72,0,0.7,0.0,2,2,13,588.2352941176471,1
77,0,2.7,0.5,6,1,6,769.2307692307693,2
71,0,1.9,0.9,2,1,6,1111.111111111111,0
65,0,-0.5,0.7,5,1,12,555.5555555555555,0
68,0,-0.6,0.7,6,1,14,476.19047619047615,1
73,0,-1.3,0.0,7,1,22,333.3333333333333,1
74,0,-1.3,0.0,7,3,29,256.41025641025647,1
75,0,-1.3,0.0,4,2,26,312.5,2
40,0,1.6,1.1,4,0,19,434.78260869565213,0
38,0,1.9,1.3,3,3,12,555.5555555555554,1
50,0,1.8,1.5,3,3,15,476.1904761904762,2
64,0,1.1,3.0,2,1,18,476.1904761904762,1
78,0,0.2,2.0,2,4,12,555.5555555555554,0
77,0,0.1,2.1,2,1,24,370.3703703703703,0
73,0,-0.2,1.9,4,0,19,434.78260869565213,0
57,0,-0.7,2.5,6,7,30,232.55813953488374,3
59,0,-1.3,2.5,8,1,28,270.2702702702703,4
63,0,-1.9,2.2,7,1,21,344.8275862068965,3
62,0,-2.3,0.5,2,2,17,476.1904761904762,2
42,0,-1.6,1.8,2,0,12,714.2857142857142,0
45,0,-2.2,1.2,1,2,6,1111.111111111111,0
47,0,-2.7,1.8,1,2,9,833.3333333333333,0
46,0,-3.9,1.1,4,0,13,588.2352941176471,1
47,0,-4.7,0.1,2,3,28,303.030303030303,0
46,0,-4.7,0.1,1,3,23,370.3703703703704,0
41,0,-4.8,0.4,0,1,20,476.1904761904761,0
84,0,-1.0,3.6,2,3,6,909.090909090909,1
72,0,-3.3,3.3,2,1,7,1000.0,1
45,0,-8.8,2.8,3,1,8,833.3333333333331,0
44,0,-9.4,2.9,9,0,14,434.78260869565224,1
42,0,-9.9,2.9,5,1,18,416.6666666666667,0
45,0,-10.5,2.9,1,2,23,384.6153846153846,0
43,0,-11.3,2.5,5,0,11,625.0,0
50,0,-9.6,2.8,2,0,4,1666.6666666666663,0
46,0,-11.1,0.7,2,1,8,909.0909090909091,1
42,0,-10.9,1.5,2,1,17,500.0,0
43,0,-11.0,1.6,10,4,18,312.5,2
46,0,-11.1,1.7,5,3,19,370.3703703703704,0
48,0,-11.3,1.7,0,2,24,384.61538461538464,0
38,0,-4.9,0.7,1,1,9,909.0909090909092,0
41,0,-5.7,1.0,1,1,14,625.0,0
50,0,-6.2,0.2,1,0,12,769.2307692307693,0
50,0,-5.6,0.0,2,0,12,714.2857142857142,0
48,0,-5.0,0.8,3,0,12,666.6666666666665,0
53,0,-5.2,0.9,5,2,12,526.3157894736842,0
47,0,-4.9,1.3,5,3,19,370.3703703703704,0
52,0,-4.9,0.2,2,0,16,555.5555555555555,0
48,0,-4.9,0.8,3,2,23,357.1428571428571,0
41,0,-4.6,0.7,2,2,8,833.3333333333331,0
73,0,-0.3,1.3,1,5,7,769.2307692307693,0
75,0,-0.1,0.7,3,2,10,666.6666666666666,0
68,0,0.2,1.8,4,2,7,769.2307692307693,0
76,0,-0.6,2.3,3,2,13,555.5555555555554,0
68,0,-0.9,1.6,2,1,24,370.3703703703703,0
65,0,-1.1,1.9,6,2,23,322.58064516129025,0
65,0,-1.5,2.3,5,1,29,285.7142857142857,1
67,0,-2.6,2.1,2,0,19,476.19047619047615,0
65,0,-2.4,2.3,3,0,10,769.2307692307693,0
46,0,-0.4,2.2,3,0,10,769.2307692307693,0
47,0,-1.2,1.6,1,2,10,769.2307692307693,0
51,0,-1.7,1.2,3,3,22,357.14285714285717,0
56,0,-3.1,0.7,3,1,12,625.0,0
62,0,-3.3,1.0,7,0,18,400.0,0
62,0,-3.9,0.5,4,3,33,250.0,0
63,0,-4.0,0.1,5,0,28,303.030303030303,0
69,0,-5.0,0.6,2,2,22,384.6153846153846,0
72,0,-4.9,0.8,4,0,25,344.8275862068965,0
64,0,-3.5,0.5,2,2,10,714.2857142857143,0
70,0,0.6,0.6,2,0,12,714.2857142857142,1
75,0,0.5,1.6,7,2,16,400.0,1
74,0,0.2,0.9,4,1,21,384.61538461538464,1
73,0,0.9,0.7,2,1,11,714.2857142857143,0
76,0,1.0,1.2,1,1,23,400.0,0
74,0,1.3,0.1,4,2,18,416.66666666666663,0
76,0,1.0,1.3,5,3,39,212.7659574468085,0
78,0,0.2,1.0,2,2,31,285.7142857142858,0
82,0,-0.3,0.6,0,1,26,370.3703703703704,0
83,0,-0.9,0.3,2,3,21,384.61538461538464,0
56,0,3.2,1.0,3,1,11,666.6666666666666,0
61,0,1.9,0.1,1,0,7,1250.0,0
63,0,0.9,0.8,1,2,18,476.1904761904762,0
64,0,0.4,1.1,3,0,21,416.6666666666667,0
64,0,0.7,1.6,1,2,11,714.2857142857143,0
42,0,8.0,0.2,2,2,6,1000.0,0
47,0,7.5,1.1,1,1,13,666.6666666666666,0
47,0,7.3,1.3,2,2,14,555.5555555555557,0
50,0,6.9,0.6,1,1,13,666.6666666666666,0
48,0,7.1,1.4,2,4,15,476.19047619047626,0
61,0,6.3,1.0,1,1,9,909.0909090909092,0
100,1,7.2,1.1,1,0,7,1250.0,0
99,0,7.0,1.2,3,1,7,909.090909090909,0
98,0,7.0,1.0,1,0,8,1111.111111111111,0
95,0,7.0,0.7,2,1,9,833.3333333333333,0
96,0,6.2,0.6,5,2,13,500.0,1
99,0,5.6,0.7,8,3,25,277.7777777777777,1
99,0,5.2,0.9,5,1,16,454.5454545454545,3
99,0,5.2,1.2,4,2,22,357.14285714285717,0
99,0,5.0,1.3,1,1,11,769.2307692307692,0
87,0,5.5,1.2,3,2,13,555.5555555555554,0
89,0,5.4,0.1,1,1,10,833.3333333333335,1
92,0,4.9,1.0,1,0,10,909.090909090909,0
92,0,4.6,1.2,2,0,10,833.3333333333335,0
92,0,4.4,1.0,1,3,20,416.66666666666674,0
93,0,4.1,1.2,4,3,23,333.33333333333337,0
97,0,3.2,0.3,1,3,14,555.5555555555557,1
96,0,4.1,0.5,0,1,8,1111.111111111111,0
80,0,8.3,0.2,1,2,4,1428.5714285714287,0
86,0,7.4,0.5,1,1,15,588.2352941176471,0
81,0,6.6,1.2,2,0,17,526.3157894736842,1
78,0,6.9,1.2,2,0,31,303.030303030303,0
80,0,6.4,1.6,2,4,27,303.03030303030306,0
79,0,6.7,1.3,7,1,24,312.5,0
77,0,6.8,1.8,2,1,24,370.3703703703703,0
74,0,7.4,1.5,4,1,21,384.61538461538464,0
94,1,6.8,1.5,3,0,7,1000.0,0
97,1,6.4,0.1,2,3,16,476.19047619047626,0
99,0,6.8,0.5,5,0,16,476.1904761904762,0
98,0,5.7,1.8,3,0,6,1111.1111111111109,0
97,2,4.0,1.8,1,3,12,625.0,0
97,2,3.3,2.2,2,0,12,714.2857142857142,0
96,2,1.1,2.1,4,2,16,454.54545454545456,0
97,1,-0.2,1.7,2,1,24,370.3703703703703,1
97,1,-0.3,1.2,6,1,26,303.03030303030295,0
97,0,-0.4,2.6,2,2,20,416.66666666666674,0
95,0,-0.4,2.8,2,1,25,357.14285714285717,0
68,0,-4.7,1.7,1,1,13,666.6666666666666,1
70,0,-4.7,2.0,6,4,12,454.5454545454545,3
75,0,-3.9,1.2,5,0,7,833.3333333333335,0
81,0,-4.8,1.9,3,3,14,500.0,0
74,0,-5.3,2.6,4,1,17,454.5454545454545,0
76,0,-5.9,2.0,4,3,17,416.6666666666667,0
78,0,-6.3,1.4,2,3,15,500.0,0
66,0,-7.4,1.6,2,1,11,714.2857142857143,0
56,0,-7.0,1.6,1,1,9,909.0909090909092,0
57,0,-7.5,1.3,4,2,17,434.78260869565213,1
53,0,-7.6,1.3,2,1,14,588.2352941176471,0
54,0,-7.6,1.7,2,1,14,588.2352941176471,0
53,0,-7.8,1.6,1,1,6,1250.0,0
53,0,-2.7,0.8,0,1,17,555.5555555555555,0
58,0,-3.1,0.9,2,0,13,666.6666666666666,0
57,0,-2.9,0.6,2,2,11,666.6666666666666,0
68,0,-3.1,0.9,0,1,19,500.0,0
70,0,-3.1,0.4,2,2,6,1000.0,0
70,0,-3.8,0.7,7,0,24,322.58064516129036,1
72,0,-2.7,0.8,1,0,10,909.090909090909,0
76,0,1.8,0.6,1,0,12,769.2307692307693,1
76,0,1.5,0.4,1,1,12,714.2857142857142,0
78,0,1.4,0.8,1,0,10,909.090909090909,1
75,0,1.6,1.0,3,0,13,625.0,0
77,0,1.3,0.8,4,0,14,555.5555555555557,0
76,0,0.9,0.5,4,0,25,344.8275862068965,1
80,0,0.5,1.0,1,2,21,416.6666666666667,1
83,0,3.7,0.0,4,1,18,434.78260869565213,1
83,0,3.1,0.6,0,2,9,909.0909090909092,0
83,0,2.9,0.7,1,0,20,476.1904761904761,0
84,0,2.6,0.6,2,0,12,714.2857142857142,0
84,0,2.7,0.3,2,0,28,333.33333333333337,0
82,0,2.7,1.2,3,2,17,454.5454545454545,0
82,0,2.6,1.2,2,1,13,625.0,1
95,0,6.4,0.9,3,0,11,714.2857142857143,2
97,2,6.2,1.8,1,2,11,714.2857142857143,0
98,1,6.4,2.0,1,0,12,769.2307692307693,0
90,0,4.8,1.5,4,2,15,476.19047619047626,0
90,0,4.4,1.3,5,0,27,312.5,2
87,0,4.0,2.3,6,3,27,277.7777777777777,0
83,0,3.7,1.9,4,2,40,217.39130434782606,0
82,0,3.6,2.0,0,1,19,500.0,0
56,0,1.1,2.2,3,4,10,588.2352941176471,1
58,0,0.5,1.4,1,1,20,454.5454545454545,0
57,0,0.2,1.9,1,3,15,526.3157894736843,0
56,0,0.1,1.7,3,0,20,434.78260869565213,0
58,0,-0.2,0.7,1,2,26,344.8275862068965,0
55,0,-0.2,1.1,5,3,30,263.15789473684214,1
58,0,-0.6,0.4,11,3,37,196.078431372549,1
58,0,-0.5,0.7,4,3,31,263.1578947368421,1
55,0,-0.4,0.1,2,0,19,476.19047619047615,0
63,0,2.4,1.2,2,1,17,500.0,0
67,0,2.1,1.2,2,3,18,434.78260869565213,0
68,0,1.9,0.2,2,1,17,500.0,0
72,0,1.7,0.7,6,4,21,322.5806451612903,1
68,0,2.5,0.9,0,6,14,500.0,0
68,0,3.0,0.5,5,1,21,370.37037037037044,1
68,0,1.8,0.2,13,1,22,277.77777777777777,0
70,0,1.4,0.6,8,5,24,270.2702702702703,0
73,0,0.8,0.5,4,2,37,232.5581395348837,0
68,0,1.4,-1.0,4,1,38,232.5581395348837,1
90,1,6.2,0.5,0,1,18,526.3157894736842,0
92,1,5.3,0.9,1,1,11,769.2307692307692,0
90,1,5.0,2.0,2,1,13,625.0,1
92,1,4.9,1.9,3,1,21,400.0,0
85,0,5.3,2.5,2,0,16,555.5555555555555,0
65,0,6.2,1.7,1,2,9,833.3333333333333,0
75,0,3.6,0.7,3,1,8,833.3333333333331,0
78,0,3.2,1.1,8,2,14,416.6666666666667,1
83,0,3.0,0.6,4,1,13,555.5555555555554,1
78,0,3.4,1.0,3,0,17,500.0,0
77,0,3.8,1.1,1,3,16,500.0,0
66,0,6.9,1.7,2,1,7,1000.0,0
70,0,6.2,1.8,2,0,12,714.2857142857142,0
