습도,강수량,기온,풍속,한식,글로벌,패스트푸드
85,0,-0.4,0.3,0,1,24
66,0,1.1,0.0,2,1,21
64,0,0.4,1.1,2,0,23
65,0,0.2,1.2,1,0,19
64,0,0.7,1.6,0,2,21
47,0,7.3,1.3,3,0,10
50,0,6.9,0.6,3,0,17
48,0,7.1,1.4,2,2,40
53,0,6.7,1.4,2,0,20
61,0,6.3,1.0,0,2,10
98,0,7.0,1.0,2,0,8
99,0,5.6,0.7,5,0,34
99,0,5.2,1.2,2,0,24
89,0,5.4,0.1,1,0,9
88,0,5.3,0.4,1,0,10
92,0,4.4,1.0,3,0,21
93,0,4.1,1.2,2,1,24
96,0,3.4,0.9,1,0,36
80,0,8.3,0.2,2,3,21
81,0,6.6,1.2,1,0,15
78,0,6.9,1.2,4,0,32
80,0,6.4,1.6,4,1,35
79,0,6.7,1.3,2,3,32
77,0,6.8,1.8,4,2,32
74,0,7.4,1.5,1,0,16
97,1,6.4,0.1,4,1,18
99,0,6.8,0.5,1,1,19
98,0,5.7,1.8,3,0,19
97,2,4.0,1.8,1,1,22
97,2,3.3,2.2,3,0,25
96,2,1.1,2.1,2,1,15
97,1,-0.2,1.7,6,0,19
97,1,-0.3,1.2,4,0,33
97,0,-0.4,2.6,4,0,40
95,0,-0.4,2.8,2,1,42
68,0,-4.7,1.7,4,1,32
70,0,-4.7,2.0,5,1,19
66,0,-4.4,1.7,2,1,12
71,0,-4.1,1.8,4,2,11
75,0,-3.9,1.2,3,1,11
81,0,-4.8,1.9,5,0,16
74,0,-5.3,2.6,8,1,6
76,0,-5.9,2.0,2,1,20
78,0,-6.3,1.4,1,2,23
71,0,-6.5,2.0,3,0,10
77,0,-6.9,2.3,1,0,16
56,0,-7.0,1.6,1,1,11
53,0,-7.6,1.3,0,3,13
53,0,-2.7,0.8,3,0,13
68,0,-3.1,0.9,2,0,15
68,0,-3.3,0.5,3,0,26
70,0,-3.8,0.7,4,1,34
72,0,-3.6,1.0,1,1,23
72,0,-2.7,0.8,3,1,17
73,0,2.6,0.4,2,0,11
75,0,1.6,1.0,2,1,13
77,0,1.3,0.8,3,1,22
80,0,0.5,1.0,3,0,30
80,0,0.3,1.0,3,1,16
79,0,0.9,0.8,1,0,16
83,0,3.1,0.6,1,0,13
84,0,2.6,0.6,6,0,27
84,0,2.7,0.3,2,0,39
82,0,2.7,1.2,3,0,30
82,0,2.6,1.2,1,1,26
82,0,3.1,0.5,1,0,17
97,2,6.2,1.8,1,0,14
90,0,4.8,1.5,0,1,16
90,0,4.4,1.3,5,0,17
87,0,4.0,2.3,3,0,36
83,0,3.7,1.9,2,3,44
82,0,3.6,2.0,3,1,39
82,0,3.8,1.4,2,0,27
56,0,1.1,2.2,1,2,22
58,0,0.5,1.4,1,1,29
57,0,0.2,1.9,0,2,25
56,0,0.1,1.7,2,0,24
58,0,-0.2,0.7,3,1,33
55,0,-0.2,1.1,2,3,42
58,0,-0.6,0.4,6,2,30
58,0,-0.5,0.7,2,0,39
55,0,-0.4,0.1,5,0,26
67,0,2.1,1.2,1,2,26
68,0,1.9,0.2,2,1,27
72,0,1.7,0.7,3,0,27
68,0,3.0,0.5,2,2,30
68,0,1.8,0.2,7,0,40
70,0,1.4,0.6,5,1,39
73,0,0.8,0.5,5,3,53
68,0,1.4,-1.0,1,0,44
69,0,1.3,0.1,0,2,39
66,0,1.9,0.9,0,1,19
90,1,6.2,0.5,1,1,8
92,1,5.3,0.9,1,1,17
90,1,5.0,2.0,3,0,16
92,1,4.9,1.9,2,0,29
85,0,5.3,2.5,1,1,29
65,0,6.2,1.7,2,0,9
78,0,3.2,1.1,2,1,15
83,0,3.0,0.6,1,1,26
78,0,3.4,1.0,5,3,27
77,0,3.8,1.1,1,1,20
70,0,6.2,1.8,2,0,11
77,0,5.2,1.2,1,1,14
81,0,4.5,1.3,4,0,9
74,0,3.7,0.9,2,0,12
81,0,2.7,1.1,7,0,25
78,0,2.7,0.9,3,0,33
78,0,2.9,0.9,3,0,25
71,0,4.4,0.7,1,1,12
67,0,5.2,0.9,1,2,20
64,0,5.6,1.5,4,1,27
65,0,5.3,1.8,0,2,26
67,0,5.3,1.0,1,1,11
99,0,4.3,0.3,1,1,14
100,0,4.4,0.8,1,2,10
100,0,4.4,0.6,3,1,18
99,0,4.2,1.9,1,1,19
100,0,4.0,0.9,3,1,31
97,0,3.9,1.0,2,1,53
97,0,3.9,0.4,1,1,17
96,0,4.4,1.3,3,1,19
72,0,7.8,1.3,1,3,21
92,0,4.7,0.3,1,0,18
94,0,3.8,0.9,3,2,34
94,0,4.0,0.8,7,0,33
92,0,3.7,0.0,4,2,36
92,0,4.0,0.8,5,1,38
94,0,3.8,0.7,2,0,42
94,0,4.4,0.2,0,1,26
91,0,5.3,0.5,0,1,11
78,0,4.6,2.0,3,2,11
93,0,3.9,1.1,2,2,13
81,0,4.1,2.4,0,2,21
78,0,4.1,1.6,3,1,28
76,0,3.3,1.5,2,0,23
80,0,2.3,1.2,2,0,30
77,0,1.9,1.6,2,1,32
73,0,1.2,2.0,4,1,34
69,0,0.5,1.5,2,3,44
68,0,0.1,1.5,2,0,31
63,0,2.8,1.2,1,1,14
76,0,1.2,1.0,1,1,33
74,0,1.5,1.0,0,3,26
71,0,3.6,1.4,1,0,9
74,0,3.3,1.3,2,1,19
75,0,3.8,1.2,1,1,11
78,0,3.6,1.9,2,0,15
79,0,3.8,2.5,3,1,16
68,0,3.1,2.2,5,0,31
71,0,2.8,1.4,2,0,27
72,0,2.5,2.0,1,1,19
58,0,-0.5,1.3,3,0,11
62,0,-0.9,1.5,2,2,20
60,0,-1.6,1.7,1,1,15
61,0,-1.9,2.2,2,0,23
60,0,-2.1,2.6,3,4,23
58,0,-2.4,1.7,2,1,25
60,0,-2.5,2.6,0,2,19
69,0,0.8,0.9,2,1,14
79,0,-0.7,0.9,3,0,20
81,0,-2.3,0.0,4,4,25
85,0,-1.8,0.9,2,1,32
82,0,-1.5,0.8,1,0,18
53,0,4.4,0.8,3,1,8
53,0,3.8,0.5,3,0,11
53,0,3.0,0.7,1,1,15
61,0,2.5,0.4,1,0,26
56,0,2.9,0.7,5,0,24
56,0,2.3,0.4,9,1,34
58,0,2.0,0.7,5,1,47
55,0,2.8,1.0,1,2,31
54,0,3.5,1.2,2,0,28
44,0,6.7,0.1,1,0,12
56,0,5.6,0.1,1,1,19
70,0,3.2,0.6,3,1,32
70,0,3.4,0.0,2,1,43
76,0,3.1,0.5,0,0,39
45,0,9.4,0.1,3,0,15
49,0,8.5,0.3,1,0,14
49,0,8.4,0.1,0,3,25
53,0,8.2,0.1,4,1,24
57,0,7.4,0.0,6,1,20
57,0,7.0,0.0,4,1,26
64,0,7.0,0.6,1,1,7
66,0,8.9,1.5,1,0,18
75,0,7.5,1.9,1,1,29
86,0,6.7,1.6,0,2,36
93,0,6.3,0.7,0,2,35
95,0,6.5,1.2,0,1,28
96,1,6.5,1.6,0,1,17
96,1,6.5,2.1,2,0,16
52,0,3.9,1.8,5,1,11
54,0,3.3,1.7,1,2,12
52,0,1.1,1.6,3,0,19
52,0,0.7,1.4,5,1,33
48,0,0.5,1.8,2,1,28
45,0,0.5,1.7,5,0,20
63,0,3.1,1.4,0,2,9
75,0,1.5,0.0,2,0,27
75,0,1.1,0.2,4,1,29
77,0,1.1,0.4,0,1,36
74,0,1.6,0.4,3,0,33
69,0,3.3,0.9,0,0,19
68,0,7.2,3.0,1,2,14
73,0,7.4,1.6,2,0,13
94,0,5.7,0.9,3,0,19
78,0,5.3,1.3,2,4,28
65,0,5.2,2.0,2,1,26
64,0,4.8,2.0,5,0,34
61,0,4.4,2.2,4,2,19
56,0,4.1,2.2,1,0,22
39,0,1.1,2.7,4,0,8
42,0,0.4,2.2,1,3,16
46,0,-0.3,1.3,1,1,14
49,0,-0.9,0.9,2,2,12
48,0,-0.9,1.7,2,1,20
51,0,-1.3,0.9,1,1,37
55,0,-2.3,0.3,3,1,39
53,0,-1.6,0.7,4,2,29
58,0,-1.8,0.1,4,1,34
51,0,0.3,0.6,1,1,25
74,0,5.0,1.5,2,0,19
78,0,4.9,1.9,1,2,15
74,0,4.5,1.3,1,2,27
71,0,4.1,1.2,4,0,16
74,0,3.8,0.9,2,0,21
87,0,2.7,1.3,5,1,36
85,0,2.7,1.1,4,3,44
79,0,3.1,1.3,1,2,47
81,0,3.6,1.0,4,0,37
70,0,5.5,1.3,4,1,20
49,0,1.4,2.3,4,2,22
50,0,1.1,2.1,2,2,24
53,0,0.7,3.2,3,3,38
56,0,0.2,1.7,3,3,29
54,0,0.1,1.8,1,0,36
54,0,-0.3,1.9,3,2,32
55,0,-0.6,1.6,7,0,30
54,0,-1.1,1.9,2,0,49
57,0,-1.7,0.7,2,0,44
58,0,-1.3,0.6,1,1,47
72,0,2.4,1.6,1,1,13
73,0,2.7,1.9,1,1,10
78,0,3.8,1.6,5,0,24
79,0,4.2,1.9,2,2,38
79,0,4.5,2.2,2,1,23
80,0,5.1,2.3,1,1,14
80,0,6.3,1.7,2,0,6
83,0,5.5,1.5,2,0,8
89,0,3.9,1.2,2,1,19
93,0,2.9,0.7,3,1,19
92,0,3.2,1.2,4,1,31
91,0,3.0,0.7,2,0,25
91,0,3.2,0.2,2,0,19
27,0,11.9,0.8,1,1,12
46,0,11.1,1.3,2,0,10
69,0,11.3,3.4,2,0,8
67,0,11.2,3.3,1,1,20
69,0,11.3,3.5,2,2,24
72,0,11.6,4.4,0,0,22
74,0,11.8,5.7,3,0,23
54,0,5.9,1.6,0,2,19
65,0,5.3,1.5,2,1,17
64,0,4.7,1.2,1,0,22
68,0,4.1,1.1,1,0,30
73,0,4.2,1.4,2,1,26
74,0,4.6,1.4,3,0,25
41,0,8.7,2.1,2,0,9
46,0,8.2,2.6,1,1,13
60,0,9.0,1.8,3,1,37
63,0,9.2,1.3,3,1,31
65,0,9.3,2.0,4,0,42
68,0,9.5,1.6,3,1,43
87,0,11.3,2.1,2,2,17
89,0,10.8,1.8,2,1,11
91,0,10.1,0.8,2,0,24
85,0,9.2,1.3,1,1,22
77,0,8.2,1.8,5,1,26
60,0,6.3,2.4,1,3,36
32,0,9.7,2.3,2,0,19
34,0,8.8,1.3,0,1,26
33,0,8.4,1.1,1,1,21
33,0,8.1,0.8,5,0,15
34,0,7.1,0.2,3,1,23
39,0,6.6,0.7,5,2,36
39,0,5.9,0.0,2,3,27
41,0,6.0,1.5,2,1,30
45,0,6.0,1.6,1,1,32
66,0,5.7,1.7,6,0,24
66,0,7.2,1.4,2,1,18
60,0,9.3,1.5,1,1,17
60,0,6.9,0.2,2,0,13
64,0,6.5,0.0,1,3,24
65,0,6.4,0.2,1,1,25
42,0,8.7,1.0,1,0,11
50,0,7.1,0.9,1,0,8
50,0,7.1,0.0,3,0,19
55,0,7.3,0.5,1,0,19
45,0,9.5,0.7,3,0,9
55,0,10.6,0.6,1,3,15
58,0,10.4,0.3,3,1,12
54,0,10.3,1.5,2,1,24
51,0,12.2,0.9,2,0,16
93,0,14.1,1.2,1,0,8
100,2,13.5,1.1,2,0,15
94,0,11.9,0.7,0,5,28
93,0,12.1,1.3,4,2,27
92,0,12.1,0.9,2,3,28
90,0,11.9,2.3,2,0,26
33,0,8.6,3.4,3,0,13
33,0,8.0,2.4,1,1,7
25,0,6.0,2.2,2,1,13
18,0,5.8,1.6,1,1,47
22,0,4.8,1.8,3,3,44
22,0,4.5,2.4,3,1,36
24,0,4.3,1.9,3,0,43
23,0,4.9,3.6,1,1,12
34,0,4.8,0.8,0,2,11
36,0,4.2,0.6,3,0,20
36,0,3.7,0.3,2,0,23
38,0,3.3,0.5,3,0,23
36,0,3.6,1.1,5,0,31
43,0,2.5,0.3,9,0,36
47,0,2.4,0.6,6,1,29
45,0,3.6,0.9,5,0,34
42,0,4.9,1.6,3,1,25
37,0,7.7,1.4,1,1,18
32,0,9.1,0.7,1,0,15
34,0,9.2,0.7,1,2,16
38,0,8.0,0.7,2,3,25
39,0,7.6,0.4,1,1,16
48,0,6.7,1.3,2,1,20
71,0,5.8,1.2,4,1,25
73,0,5.2,1.1,1,1,32
73,0,5.3,1.2,5,3,44
75,0,4.9,1.0,2,2,35
77,0,4.1,1.0,3,1,42
54,0,7.4,0.8,2,0,16
33,0,10.1,0.7,1,1,13
54,0,6.7,0.1,1,1,10
54,0,6.0,1.6,0,2,18
64,0,5.1,1.1,0,1,26
64,0,5.1,0.0,2,2,28
55,0,8.3,0.4,1,0,10
34,0,12.5,0.9,2,0,10
41,0,11.7,0.4,1,1,20
39,0,12.2,1.2,1,2,18
47,0,10.5,0.8,1,0,24
46,0,10.4,0.6,2,0,30
42,0,10.2,0.6,5,0,56
36,0,10.1,1.4,1,0,45
62,0,6.5,1.2,1,1,17
69,0,5.3,0.7,2,0,12
71,0,4.6,0.3,4,1,24
72,0,4.6,0.8,7,3,30
73,0,4.5,0.1,3,2,31
72,0,5.5,0.1,2,0,26
50,0,8.4,1.8,2,0,15
67,0,7.0,1.3,2,0,10
90,0,5.3,1.5,6,0,26
91,0,5.7,2.0,2,2,24
87,0,6.3,1.3,1,4,20
71,0,8.2,2.7,1,2,18
71,0,7.8,1.9,2,0,19
88,0,6.7,2.5,2,2,25
91,0,6.6,2.3,3,0,42
91,0,6.6,2.1,5,1,38
24,0,6.8,3.2,6,0,21
28,0,4.6,0.5,4,3,14
29,0,5.3,1.8,2,1,22
27,0,3.5,0.9,3,0,31
27,0,3.1,1.2,6,0,37
27,0,2.7,1.6,4,2,39
26,0,3.0,0.8,2,2,44
22,0,3.6,2.3,0,2,23
72,0,6.0,1.4,1,1,29
70,0,6.0,1.1,2,1,29
70,0,5.7,1.7,1,2,23
74,0,3.9,1.2,4,2,30
70,0,4.4,1.2,6,0,32
72,0,3.6,1.1,8,2,36
70,0,3.9,0.4,5,2,32
51,0,6.0,0.5,0,3,6
58,0,8.3,1.4,2,0,12
81,0,6.7,1.0,2,0,8
85,0,6.2,1.0,4,0,22
87,0,6.0,1.0,2,0,29
86,0,6.3,1.6,0,3,47
85,0,7.7,1.6,2,1,21
64,0,8.6,1.9,2,1,10
63,0,8.3,1.1,1,1,6
43,0,6.7,0.8,2,0,16
46,0,5.9,1.1,6,1,21
43,0,6.0,0.6,2,1,26
38,0,6.8,1.1,4,0,27
34,0,7.6,2.4,2,0,17
30,0,9.7,2.2,2,0,8
35,0,8.2,1.1,2,1,10
32,0,7.9,1.4,2,0,5
32,0,7.3,1.0,4,0,13
42,0,6.2,0.9,6,1,22
46,0,5.5,0.7,5,1,26
49,0,5.7,1.2,4,3,21
51,0,5.5,1.4,5,1,28
52,0,5.9,1.6,0,1,22
68,0,7.6,1.7,2,1,17
77,0,6.0,0.4,1,1,17
75,0,5.4,0.5,5,1,14
74,0,5.7,0.3,2,1,27
71,0,5.9,0.5,1,2,24
64,0,7.4,1.2,6,2,16
57,0,8.7,1.4,0,1,13
61,0,9.4,1.7,1,1,13
76,0,7.5,1.8,3,1,15
81,0,6.3,1.7,4,0,15
84,0,6.1,1.5,2,1,23
84,0,5.8,1.6,2,1,45
85,0,5.5,1.2,4,0,42
78,0,6.6,2.2,1,2,14
79,0,6.2,1.3,4,1,13
82,0,5.9,1.1,2,2,12
86,0,5.5,1.1,2,0,18
87,0,5.3,0.9,5,1,17
89,0,4.9,0.7,4,0,31
88,0,5.1,0.7,4,1,39
87,0,4.9,0.7,5,1,34
78,0,6.4,0.7,3,1,43
72,0,8.0,1.5,2,2,20
54,0,9.4,2.2,2,1,13
56,0,8.8,2.5,0,2,23
57,0,7.8,1.4,3,5,21
56,0,7.6,1.8,4,0,16
52,0,6.6,1.6,1,0,14
54,0,6.2,1.5,1,0,36
56,0,6.3,2.7,2,2,18
