지점,일시,평균 수온(°C)
22101,2005-10-05,20.8
22101,2005-10-06,20.8
22101,2005-10-07,20.5
22101,2005-10-08,20.4
22101,2005-10-09,20.4
22101,2005-10-10,20.4
22101,2005-10-11,20.5
22101,2005-10-12,20.4
22101,2005-10-13,20.4
22101,2005-10-14,20.1
22101,2005-10-15,19.9
22101,2005-10-16,19.9
22101,2005-10-17,19.9
22101,2005-10-18,19.5
22101,2005-10-19,19.4
22101,2005-10-20,19.5
22101,2005-10-21,19.2
22101,2005-10-22,18.5
22101,2005-10-23,18.3
22101,2005-10-24,18.4
22101,2005-10-25,18.4
22101,2005-10-26,18.4
22101,2005-10-27,18.4
22101,2005-10-28,18.2
22101,2005-10-29,17.8
22101,2005-10-30,17.4
22101,2005-10-31,17.5
22101,2005-11-01,17.4
22101,2005-11-02,17.3
22101,2005-11-03,17.4
22101,2005-11-04,17.4
22101,2005-11-05,17.4
22101,2005-11-06,17.3
22101,2005-11-07,17
22101,2005-11-08,16.7
22101,2005-11-09,16.6
22101,2005-11-10,16.6
22101,2005-11-11,16.3
22101,2005-11-12,16.2
22101,2005-11-13,16
22101,2005-11-14,15.6
22101,2005-11-15,15.1
22101,2005-11-16,14.6
22101,2005-11-17,14.3
22101,2005-11-18,14
22101,2005-11-19,13.7
22101,2005-11-20,13.6
22101,2005-11-21,13.5
22101,2005-11-22,13.3
22101,2005-11-23,13.3
22101,2005-11-24,13.2
22101,2005-11-25,13.1
22101,2005-11-26,13.1
22101,2005-11-27,13
22101,2005-11-28,13
22101,2005-11-29,12.6
22101,2005-11-30,12.4
22101,2005-12-01,12.4
22101,2005-12-02,11.9
22101,2005-12-03,11.5
22101,2005-12-04,11.2
22101,2005-12-05,10.5
22101,2005-12-06,10.2
22101,2005-12-07,9.8
22101,2005-12-09,9.9
22101,2005-12-10,9.7
22101,2005-12-11,9.4
22101,2005-12-12,9.1
22101,2005-12-13,8.7
22101,2005-12-14,8.3
22101,2005-12-15,7.9
22101,2005-12-16,7.7
22101,2005-12-17,7.3
22101,2005-12-18,7
22101,2005-12-19,6.8
22101,2005-12-20,6.7
22101,2005-12-21,6.5
22101,2005-12-22,6.2
22101,2005-12-23,6
22101,2005-12-24,5.9
22101,2005-12-25,5.7
22101,2005-12-26,5.5
22101,2005-12-27,5.1
22101,2005-12-28,4.9
22101,2005-12-29,4.7
22101,2005-12-30,4.7
22101,2005-12-31,4.6
22101,2006-01-01,4.6
22101,2006-01-02,4.6
22101,2006-01-03,4.5
22101,2006-01-04,4.4
22101,2006-01-05,4.3
22101,2006-01-06,4.1
22101,2006-01-07,3.9
