지점,일시,평균 수온(°C)
22105,2005-10-01,22
22105,2005-10-02,22.4
22105,2005-10-03,22
22105,2005-10-04,21.6
22105,2005-10-05,21.6
22105,2005-10-06,21.6
22105,2005-10-07,21.6
22105,2005-10-08,21.7
22105,2005-10-09,21.2
22105,2005-10-10,21.3
22105,2005-10-11,21.2
22105,2005-10-12,21.2
22105,2005-10-13,20.9
22105,2005-10-14,20.8
22105,2005-10-15,21.2
22105,2005-10-16,21.6
22105,2005-10-17,21.1
22105,2005-10-18,20.2
22105,2005-10-19,19.6
22105,2005-10-20,19.7
22105,2005-10-21,18.8
22105,2005-10-22,16.3
22105,2005-10-23,18.2
22105,2005-10-24,18.3
22105,2005-10-25,17.7
22105,2005-10-26,17.5
22105,2005-10-27,17
22105,2005-10-28,17.6
22105,2005-10-29,16.3
22105,2005-10-30,16.2
22105,2005-10-31,16.2
22105,2005-11-01,15.6
22105,2005-11-02,15.7
22105,2005-11-03,16.4
22105,2005-11-04,16.9
22105,2005-11-05,17.2
22105,2005-11-06,17.4
22105,2005-11-07,16.8
22105,2005-11-08,15.5
22105,2005-11-09,15.4
22105,2005-11-10,15.3
22105,2005-11-11,15.4
22105,2005-11-12,15.1
22105,2005-11-13,15.5
22105,2005-11-14,15.4
22105,2005-11-15,14.7
22105,2005-11-16,14.9
22105,2005-11-17,16.1
22105,2005-11-18,16.3
22105,2005-11-19,15.6
22105,2005-11-20,15.6
22105,2005-11-21,16.4
22105,2005-11-22,17.4
22105,2005-11-23,18
22105,2005-11-24,18.3
22105,2005-11-25,18.1
22105,2005-11-26,17.9
22105,2005-11-27,17.4
22105,2005-11-28,18.2
22105,2005-11-29,17.2
22105,2005-11-30,16.6
22105,2005-12-01,16.1
22105,2005-12-02,14.6
22105,2005-12-03,14.7
22105,2005-12-04,14.4
22105,2005-12-05,13.6
22105,2005-12-06,13.9
22105,2005-12-07,13.6
22105,2005-12-08,13.2
22105,2005-12-09,14.8
22105,2005-12-10,14.3
22105,2005-12-11,14.9
22105,2005-12-12,14.8
22105,2005-12-13,14.4
22105,2005-12-14,13.4
22105,2005-12-15,13.1
22105,2005-12-16,13.6
22105,2005-12-17,13.7
22105,2005-12-18,11.7
22105,2005-12-19,10.7
22105,2005-12-20,11.4
22105,2005-12-21,10
22105,2005-12-22,10
22105,2005-12-23,9.8
22105,2005-12-24,11.7
22105,2005-12-25,13.5
22105,2005-12-26,13.3
22105,2005-12-27,12.7
22105,2005-12-28,11.4
22105,2005-12-29,12.8
22105,2005-12-30,12.7
22105,2005-12-31,12.6
22105,2006-01-01,12.3
22105,2006-01-02,9.9
22105,2006-01-03,8.4
22105,2006-01-04,8.7
22105,2006-01-05,9.9
22105,2006-01-06,9.1
22105,2006-01-07,9.6
22105,2006-01-08,9.9
22105,2006-01-09,11.3
22105,2006-01-10,11.6
22105,2006-01-11,11.4
22105,2006-01-12,12.4
22105,2006-01-13,12.3
22105,2006-01-14,11.9
22105,2006-01-15,11.9
22105,2006-01-16,11.8
22105,2006-01-17,11.7
22105,2006-01-18,12.3
22105,2006-01-19,11.8
22105,2006-01-20,11.8
22105,2006-01-21,11.5
22105,2006-01-22,10.9
22105,2006-01-23,11
22105,2006-01-24,11
22105,2006-01-25,11.1
22105,2006-01-26,11.1
22105,2006-01-27,9.8
22105,2006-01-28,10.7
22105,2006-01-29,10.7
22105,2006-01-30,10.7
22105,2006-01-31,10.7
22105,2006-02-01,10.9
22105,2006-02-02,11.5
22105,2006-02-03,10.8
22105,2006-02-04,11.6
22105,2006-02-05,11.5
22105,2006-02-06,10.7
22105,2006-02-07,10.5
