지역,공연건수,개막편수,상연횟수,판매수,취소수,총 티켓판매수,총 티켓판매액,,
서울,12,10,281,379113,130525,248588,23915701,,
경기/인천,8,8,29,25857,11351,14506,1843382,,
충청도,3,2,12,12505,4181,8324,1166362,,
강원도,0,0,0,0,0,0,0,,
경상도,16,16,110,107982,35997,71985,6995233,,
전라도,4,4,16,11159,5489,5670,364082,,
제주도,0,0,0,0,0,0,0,,
합계,43,40,448,536616,187543,349073,34284760,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
